Date : 2023-12-17 14:02:00
Directory : c:\Users\Lenovo\Saitynai
Total : 115 files,  18286 codes, 112 comments, 592 blanks, all 18990 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |         43 |     15,903 |          0 |         13 |     15,916 |
| C#         |         44 |      2,084 |        104 |        547 |      2,735 |
| XML        |         23 |        197 |          8 |         17 |        222 |
| Properties |          4 |         68 |          0 |          4 |         72 |
| Markdown   |          1 |         34 |          0 |         11 |         45 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                          |        115 |     18,286 |        112 |        592 |     18,990 |
| . (Files)                                                                                                                  |          1 |         34 |          0 |         11 |         45 |
| RestLS                                                                                                                     |        114 |     18,252 |        112 |        581 |     18,945 |
| RestLS (Files)                                                                                                             |          1 |          7 |          0 |          0 |          7 |
| RestLS\.idea                                                                                                               |          3 |         18 |          0 |          0 |         18 |
| RestLS\.idea\.idea.RestLS                                                                                                  |          3 |         18 |          0 |          0 |         18 |
| RestLS\.idea\.idea.RestLS\.idea                                                                                            |          3 |         18 |          0 |          0 |         18 |
| RestLS\RestLS                                                                                                              |        110 |     18,227 |        112 |        581 |     18,920 |
| RestLS\RestLS (Files)                                                                                                      |          4 |        105 |         10 |         36 |        151 |
| RestLS\RestLS\.config                                                                                                      |          1 |          5 |          0 |          0 |          5 |
| RestLS\RestLS\Auth                                                                                                         |          7 |        129 |          0 |         30 |        159 |
| RestLS\RestLS\Auth (Files)                                                                                                 |          2 |         97 |          0 |         19 |        116 |
| RestLS\RestLS\Auth\Models                                                                                                  |          5 |         32 |          0 |         11 |         43 |
| RestLS\RestLS\Controllers                                                                                                  |          5 |        540 |         36 |        154 |        730 |
| RestLS\RestLS\Data                                                                                                         |         14 |        285 |          8 |         72 |        365 |
| RestLS\RestLS\Data (Files)                                                                                                 |          4 |         78 |          8 |         22 |        108 |
| RestLS\RestLS\Data\Dtos                                                                                                    |          4 |         24 |          0 |          6 |         30 |
| RestLS\RestLS\Data\Dtos\Appoitments                                                                                        |          1 |          4 |          0 |          1 |          5 |
| RestLS\RestLS\Data\Dtos\Recomendation                                                                                      |          1 |          4 |          0 |          1 |          5 |
| RestLS\RestLS\Data\Dtos\Therapies                                                                                          |          2 |         16 |          0 |          4 |         20 |
| RestLS\RestLS\Data\Entities                                                                                                |          3 |         34 |          0 |         11 |         45 |
